title,pub_date,status,link,category,preview
"A Danger of Breathwalking, and How I Almost Stepped on It","Mon, 05 Apr 2021 10:25:00 +0000",publish,/blog/breathwalking-danger,Breathwork techniques and how-to,"Listen to this post in 6 min 28 sec: Welcome to another issue of The Breathing 411, Here are four thoughts, one quote, and one answer to consider this week. There’s also a fun bonus thought on the “ Dangers of Breathwalking .” I hope you enjoy it! 4 Thoughts 1. The Lungs Lead, Heart and Mind Follow "
"How Bruce Lee Sees Methods, Full Lotus, and the Beauty of Red Blood Cells","Mon, 30 Aug 2021 10:25:00 +0000",publish,/blog/bruce-lee-mixed-artists,Breathwork techniques and how-to,"Listen Instead of Reading This week, you'll learn how to become a mixed breathing artist, learn a decade-old idea still relevant today, and take a look into Wim Hof’s mirror. Enjoy! 4 Thoughts 1. On Bruce Lee, “Methods,” and Becoming Mixed Breathing Artists “ The individual is of first importance, n"
"Build-a-Breath, How to Work with Emotions, and Carrying Great Power","Mon, 13 Mar 2023 10:28:00 +0000",publish,/blog/build-a-breath-great-power-mouth-tape,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 THOUG"
"Catch &amp; Shoot, 20 or 50 Years, and Slow Breathing Doesn’t Work Now","Mon, 08 Jan 2024 11:28:00 +0000",publish,/blog/catch-shoot-20-50-years-slow-breathing-doesnt-work,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy My Work? Donate to keep me breathing. Reading Time: 1 min 49 sec I hope the next 27’ish breaths are the most nourishi"
"Cheap Medicine, New Breath Book, and Becoming Students of Life","Mon, 29 Jan 2024 11:28:00 +0000",publish,/blog/cheapest-medicine-a-new-breath-book-students-of-life,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy My Work? Donate to keep me breathing. Reading Time: 1 min 38 sec I hope the next 24’ish breaths are the most nourishi"
"""Promising Prospects in Chronic Diseases,"" plus My Top 3 Books of 2021","Mon, 27 Dec 2021 11:25:00 +0000",publish,/blog/chronic-disease-books,Breathwork techniques and how-to,"🎧 Listen Instead of Reading 🎧 If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 4 Thoughts 1. A First Goal of Pranayama is This “ Hence, through pranayama, one attempts to do away with the effort of "
"Clouds, Humming Under Water, and Two Practices for Today","Mon, 12 Feb 2024 11:28:00 +0000",publish,/blog/clouds-humming-under-water-two-practices-for-today,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support my research. Reading Time: 2 min 1 sec I hope the next 30’ish breaths are the most nou"
"CO2 &amp; Breath Regulation, a Fulfilling Life, and a Great Book on Movement","Mon, 05 May 2025 10:28:00 +0000",publish,/blog/co2-breath-regulation-a-fulfilling-life-and-a-great-book-on-movement,Breathwork techniques and how-to,Reading Time: 2 min 11 sec I hope the next 26’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Breathing 101: The Role of CO2 in Breath Regulation 1. CO₂ crosses the blood-brain barrier and reacts with water in the cerebral spinal fluid (CSF) to form hydrogen ions (H⁺) and bicarbonate.
"Common Breath Currency, 3 of the Best, and an Overlooked Exercise","Mon, 09 Dec 2024 11:28:00 +0000",publish,/blog/common-breath-currency-3-of-the-best-overlooked-exercise,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support this newsletter & podcast. Reading Time: 1 min 48 sec I hope the next 22’ish breaths a"
"How Breathing Compounds, 2000+ Years, and a Remarkable Fact of Existence","Mon, 27 Sep 2021 10:25:00 +0000",publish,/blog/complex-compounding,Breathwork techniques and how-to,"Listen Instead of Reading A Breathing Gift This Week Have you read the Holstee Manifesto? It’s amazing. This is my adaptation, The Breathing Manifesto . (I literally just copied their format. I’m not that creative, lol). Print it, hang it, and enjoy it! Alright, on to this week’s 411… 4 Thoughts 1. "
"Diverse Tactics (part 2), Less Relaxation, and How to Feel Confident","Mon, 02 May 2022 10:25:00 +0000",publish,/blog/confidence-self-regulation,Breathwork techniques and how-to,"🎧 Listen Instead of Reading 🎧 If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 T"
"Connection, a Wordless Mantra, and 4 Thoughts on Nose Breathing","Mon, 29 Apr 2024 10:28:00 +0000",publish,/blog/connection-wordless-mantra-4-thoughts-nose-breathing,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support my research. Reading Time: 1 min 48 sec I hope the next 27’ish breaths are the most no"
"Conscious Breathing for Body &amp; Mind, Truth, and How to Save Your Own Life","Mon, 14 Jul 2025 10:28:00 +0000",publish,/blog/conscious-breathing-for-body-mind-truth-and-how-to-save-your-own-life,Breathwork techniques and how-to,"Reading Time: 1 min 54 sec I hope the next 23’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. You Can’t Do This and Still Be Upset “But when you are in control of your emotional state, your breaths are regular. They are in through your nose: slower, softer, and quiet. You can’t be in "
"How Breathing Boosts Creativity, Why We Sigh, and Where Rumi’s Soul Lives","Mon, 04 Oct 2021 10:25:00 +0000",publish,/blog/creativity-rumi,Breathwork techniques and how-to,"Listen Instead of Reading Welcome back to another 411. Let’s jump straight in… 4 Thoughts 1. Breathing to Boost Creativity: Quieting the Amygdala, Pessimism, and 80% “Unfortunately, to keep us safe, the amygdala is strongly biased toward negative information. …This crushes optimism and squelches cre"
"Cry More, Full Victory, and Three Gift Ideas for Breathers","Mon, 04 Dec 2023 11:28:00 +0000",publish,/blog/cry-more-full-victory-three-gift-ideas-for-breathers,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Reading Time: 2 min 4 sec I hope the next 31’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Full Effort is "
"Delightful Practice, Reverse Arambhashura, and The Buddha’s Take on Science","Mon, 02 Aug 2021 10:25:00 +0000",publish,/blog/delightful-practice,Breathwork techniques and how-to,"Listen Instead of Reading Hello, Here are four thoughts, one quote, and one answer for this week. I hope you enjoy it! 4 Thoughts 1. What Science Has in Common with The Buddha “ Research in general tells us something about most people. Given that our concern is for what we, rather than what most peo"
Why 6 Breaths/Minute Improves Heart Health &amp; Quality of Life in Diabetes,"Fri, 17 Jun 2022 20:15:43 +0000",publish,/blog/diabetes-slow-breathing-6bpm,Breathwork techniques and how-to,"Slow breathing is a highly effective yet overlooked therapy for diabetes. It profoundly changed my life with diabetes , leading me to spend the past 5 years trying to understand it and share it with others. I’ve found that it’s not going to fix everything (of course). It may not even impact your blo"
"Dissolve Your Problems, Slow Breathing’s Healing, &amp; the Joy of Meditation","Mon, 09 Feb 2026 11:28:00 +0000",publish,/blog/dissolve-your-problems-slow-breathings-healing-the-joy-of-meditation,Breathwork techniques and how-to,Reading Time: 1 min 44 sec I hope the next 21-ish breaths are the most nourishing of your day. 4 THOUGHTS 1. How Much Time Should You Spend Practicing? “I think the amount of time that you spend on this work is not that important…what is important here is the regularity of doing this work. You want 
DRAFT - No TAGS,"Sun, 06 Sep 2020 09:34:42 +0000",draft,/blog/draft,Focus and performance,"Hello and Happy Monday. Welcome to another edition of The Breathing 4.1.1. 4 THOUGHTS 1. What do 5,649 and 28,800 Have in Common? 2. The Most Fundamental of the Fundamentals 3. Bring Attention & Intention to Your Breathing 4. Slow Breathing for Hypertension 1 QUOTE ""To know that even one life has br"
Become A World-Class Breather,"Mon, 01 Feb 2021 11:30:00 +0000",publish,/blog/draft-sraza,Breathwork techniques and how-to,"Greetings, Here are four thoughts, one quote, and one answer to start off February. Enjoy! 4 THOUGHTS 1. Become a World-Class Breather "" World-class performers are less about complexity and more about optimizing simplicity…It’s about the fundamentals. But small, daily improvements on the fundamental"
"Breathing For Better Health, Easy Fixes, and How to Breathe with Stardust","Mon, 09 Aug 2021 10:25:00 +0000",publish,/blog/easy-fixes-stardust,Breathwork techniques and how-to,"Listen Instead of Reading Hey, Welcome back to another issue of The Breathing 411. Here are 4 thoughts, 1 quote, and 1 answer for this week. I hope you enjoy it! 4 Thoughts 1. Posture is Easier with the Breath “ Question: Do I start with breathing correctly or addressing my posture? Answer: Breathin"
"Applied Elegance, a Gift of Breathing, and How to Practice Philosophy","Mon, 13 Jun 2022 10:24:00 +0000",publish,/blog/elegance-philosophy,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Element of Choice, Less Effort, and Focus on Enjoyment for Better Results","Mon, 14 Aug 2023 10:28:00 +0000",publish,/blog/element-of-choice-less-effort-enjoyment-better-results,Focus and performance,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 4 THOUGHTS 1. Focus On Enjoyment (but only if you want better results) “Literally anything you can do to augment your enjoy"
"Eloquent Exhales, 3 Books, and Adding Sound for More Benefit","Mon, 12 Sep 2022 10:24:00 +0000",publish,/blog/eloquent-exhales-water-sounds,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Emotional Balance, Why Mindfulness, and Moving Beyond a Calm Mind","Mon, 27 Mar 2023 10:28:00 +0000",publish,/blog/emotional-balance-mindfulness-calm,Anxiety and stress,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 THOUG"
"Breathing Through Negative Feedback Loops, and the WHM in 2.5 Minutes","Mon, 19 Apr 2021 10:25:00 +0000",publish,/blog/epiphenomena,Breathwork techniques and how-to,"Listen to this post: Welcome back to another issue of The Breathing 411. Here are 4 thoughts, 1 quote, and 1 answer for the week. Enjoy! 4 Thoughts 1. The Epiphenomena of Breathing “ However, a lightbulb also produces heat. Heat is not the function of the lightbulb, nor is it the reason we originall"
"Effective Non-Breathing Tool, Equanimity, and an 8 Breath Protocol","Mon, 07 Nov 2022 11:24:00 +0000",publish,/blog/equanimity-8-breaths,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! If You "
On Excellent Scientific Statements and Being Reasonable with Breathing,"Mon, 22 Feb 2021 23:30:00 +0000",publish,/blog/excellent-and-reasonable,Breathwork techniques and how-to,"Greetings, Here are 4 thoughts, 1 quote, and 1 answer related to breathing. Enjoy! 4 THOUGHTS 1. 18 Excellent Statements from Scientific Papers "" With breathing interventions being relatively rapid interventions to implement and also demonstrating a wide range of positive clinical outcomes, breathin"
"Exciting Announcement, All Systems Relax, and the 2nd Best Practice","Mon, 16 Mar 2026 10:28:00 +0000",publish,/blog/exciting-announcement-all-systems-relax-the-2nd-best-practice,Breathwork techniques and how-to,"Reading Time: 1 min 28 sec I hope the next 18-ish breaths are the most nourishing of your day. NEW: Watch the AI-Generated Explainer Video of This Blog (This is not the same as the Breath Science Channel explained in Thought #1) 4 THOUGHTS 1. Peer-Reviewed Breath Science, Explained Simply (new YouTu"
"Fast Breathing, Positive Emotions, and the 3 Stages of Wim Hof","Mon, 18 Oct 2021 10:25:00 +0000",publish,/blog/fast-haiku-wim,Breathwork techniques and how-to,"Listen Instead of Reading 4 Thoughts 1. Feedforward vs. Feedback: How to Breathe Yourself into Being Happier “ Therefore, it is widely accepted that emotions arise within the brain, which provides feedforward signaling … [But] The emotional and neurological changes that arise during pranayama and me"
"Feeling Better, Thoughts, and the Most Reliable Rhythm in Our Lives","Mon, 08 Sep 2025 10:28:00 +0000",publish,/blog/feeling-better-thoughts-and-the-most-reliable-rhythm-in-our-lives,Breathwork techniques and how-to,"Reading Time: 2 min 5 sec I hope the next 25’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Feeling Better, in Both Mind and Body “One of the essential techniques that I distill from this body of knowledge about pranayama is that the qualities of breath that you want to develop are t"
"Finding Answers Within, Tree Tops, and How to Breathe for Joy","Mon, 07 Aug 2023 10:28:00 +0000",publish,/blog/finding-answers-within-tree-tops-how-to-breathe-for-joy,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 4 THOUGHTS 1. How to Breathe for Joy “To our knowledge, this is the first demonstration that the alteration of respiration "
"Five Minutes, How to Heal the Mind, and 15 versus 300","Mon, 10 Jun 2024 10:28:00 +0000",publish,/blog/five-minutes-how-to-heal-the-mind-15-versus-300,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support this newsletter & podcast. Reading Time: 1 min 29 sec I hope the next 22’ish breaths a"
"Flourishing, Four (more) Reminders, and Get More Brain Power","Mon, 19 Aug 2024 10:28:00 +0000",publish,/blog/flourishing-four-reminders-get-more-brain-power,Focus and performance,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support this newsletter & podcast. Reading Time: 1 min 47 sec I hope the next 27’ish breaths a"
"5 Breaths for Focus, Better Sleep, and Your Own Finely Crafted Program","Mon, 15 Aug 2022 10:24:00 +0000",publish,/blog/focus-better-sleep,Sleep,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Purely for Joy, Physics, and How to Overcome Obstacles","Mon, 28 Oct 2024 10:28:00 +0000",publish,/blog/focus-on-joy-physics-how-to-overcome-obstacles,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support this newsletter & podcast. Reading Time: 1 min 46 sec I hope the next 22’ish breaths a"
"Four Reminders, Alternate Nostril, and Tapping into the Life Force","Mon, 12 Aug 2024 10:28:00 +0000",publish,/blog/four-reminders-alternate-nostril-tapping-into-life-force,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support this newsletter & podcast. Reading Time: 1 min 45 sec I hope the next 26’ish breaths a"
"Free 5-Day Course, Less Inflammation, and 3 Breath-Focused Quotes","Mon, 27 Jan 2025 11:28:00 +0000",publish,/blog/free-5-day-course-less-inflammation-3-breath-focused-quotes,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Audio Block Double-click here to upload or link to a .mp3. Learn more Enjoy These Posts? Donate to support this newsletter "
"Free 5-Star Resort, Transferring Passion, and Breathing in the Rain","Mon, 27 Nov 2023 11:28:00 +0000",publish,/blog/free-5-star-resort-transferring-passion-rainy-breath,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Reading Time: 1 min 37 sec I hope the next 25’ish breaths are the most nourishing of your day. 4 THOUGHTS 4 THOUGHTS 1. A R"
"Free OA App, 60 Seconds of Joy, and Breathing Improves Cognition","Mon, 20 Feb 2023 11:28:00 +0000",publish,/blog/free-app-60-seconds-joy-cognition,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Free App, Better Aging, and How Meditation Affects the Breath","Mon, 08 Dec 2025 11:28:00 +0000",publish,/blog/free-app-better-aging-how-meditation-affects-the-breath,Breathwork techniques and how-to,"Reading Time: 1 min 47 sec I hope the next 21-ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Free Breathing App for Diabetes “Slow breathing could be a simple beneficial intervention in diabetes.” - Bernardi et al. (2017), Nat. Sci. Rep. The Breathing App for Diabetes is free until J"
How Breathing Helps You Get and Stay Frustrated (and why it’s a good thing),"Mon, 11 Oct 2021 10:25:00 +0000",publish,/blog/frustrated-creativity,Breathwork techniques and how-to,"Listen Instead of Reading 4 Thoughts 1. Why You Need to be Frustrated, and How Breathing Can Help “ Long-haul creativity, Robinson believes, requires a low-level, near-constant sense of frustration. … It’s a constant, itchy dissatisfaction, a deep sense of what-if, and can-I-make-it-better, and the "
"Applying Gandhi's Wisdom, The Science of Learning, and $100 to Your Breath","Mon, 14 Jun 2021 10:25:00 +0000",publish,/blog/gandhi-and-learning-science,Breathwork techniques and how-to,"Listen Instead of Reading Hey, Welcome back to another issue of the The Breathing 411. Here are 4 thoughts, 1 quote, and 1 answer that I hope you enjoy this week! 4 Thoughts 1. Why Your Breathing Gains Get More Boring With Time “ Gaining the first $100 at the track feels much better than winning the"
"Glimmers over Triggers, More from Your Mind, and a Celebration of Life","Mon, 19 Jan 2026 11:28:00 +0000",publish,/blog/glimmers-over-triggers-more-from-your-mind-a-celebration-of-life,Anxiety and stress,Reading Time: 1 min 46 sec I hope the next 21-ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Glimmers over Triggers “A glimmer is the opposite of a trigger; it’s any object or experience that creates a moment of unforced ease or joy. It works the same way as a negative trigger…but in
3 Breaths Changed David Goggins’ Life (+ a free gift),"Mon, 26 Dec 2022 11:28:00 +0000",publish,/blog/goggins-healing-power,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Going Inward, a New Practice, and Remembering Oneself","Mon, 29 Jul 2024 10:28:00 +0000",publish,/blog/going-inward-a-new-practice-remembering-oneself,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support this newsletter & podcast. Reading Time: 1 min 48 sec I hope the next 27’ish breaths a"
"Good Stress, Self Love, and Breathing for Happiness and Wisdom","Mon, 27 Feb 2023 11:28:00 +0000",publish,/blog/good-stress-self-love-wisdom,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Gratitude Brain Change, 2 Quotes, and You Can Bring Retreat to You","Mon, 12 Jun 2023 10:28:00 +0000",publish,/blog/gratitude-brain-change-2-quotes-bring-retreat-to-you,Focus and performance,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 4 THOUGHTS 1. The Passion Paradox I love breathing and lose sleep thinking about it. 2. Two Unconnected (but highly related"
"Great Books on Breathing, Mindfulness, and Better Living","Mon, 24 Feb 2025 11:28:00 +0000",publish,/blog/great-books-on-breathing-mindfulness-and-better-living,Breathwork techniques and how-to,"Today, we have a special 411 full of good books I’ve read in the past year or so. I hope you find a few you like! P.S. If you want to support my work, you can use the Amazon affiliate links below for any that you purchase. Thanks! Reading Time: 2 min 14 sec I hope the next 27’ish breaths are the mos"
"Grow the Good, Speech, and 2 Ways to Practice Slow Breathing","Mon, 10 Nov 2025 11:28:00 +0000",publish,/blog/grow-the-good-speech-2-ways-to-practice-slow-breathing,Breathwork techniques and how-to,"Reading Time: 1 min 46 sec I hope the next 21-ish breaths are the most nourishing of your day. 4 THOUGHTS 1. It’s About Pace, Not Speed “It is a gentle, slow practice…and pace (not speed) matters. There is no rushing, no urgency embedded into a step. It isn’t a task to ‘get over’ so I can move on to"
"Holotropic Breathing, a 6 bpm Prayer, and the Power of PNS","Mon, 28 Nov 2022 11:24:00 +0000",publish,/blog/hail-mary-holotropic,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Head and Heart, Best Advice, and Why All Breathwork Works","Mon, 19 Sep 2022 10:24:00 +0000",publish,/blog/head-heart-best-advice,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Healing Through Breathing, Breath and E-motions, and How to Go East","Mon, 21 Apr 2025 10:28:00 +0000",publish,/blog/healing-through-breathing-breath-and-e-motions-and-how-to-go-east,Breathwork techniques and how-to,"Reading Time: 1 min 46 sec I hope the next 21’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Breathing, and Energy in Motion “So what can help us when rational thought can’t? In our cerebrally oriented life, many of us have forgotten one critical piece: the role of our body to help o"
"Health &amp; Happiness, and How to Align with Your Life Force","Mon, 18 Dec 2023 11:28:00 +0000",publish,/blog/health-happiness-how-to-align-with-your-life-force,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Reading Time: 1 min 33 sec I hope the next 23’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. You Will Recei"
"Heart &amp; Breath Harmony, Hidden Life, and Two Places to Put Your Breath","Mon, 20 Jun 2022 10:24:00 +0000",publish,/blog/heart-breath-hidden-life,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"Helping the Mind-Body System, Give Yourself a Break, &amp; Share What You Learn","Mon, 30 Jun 2025 10:28:00 +0000",publish,/blog/helping-the-mind-body-system-give-yourself-a-break-share-what-you-learn,Nervous system science,"Reading Time: 2 min 2 sec I hope the next 24’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Breathing as a First Line of Defense “We propose that the ANS [autonomic nervous system] is modulated by breathing so that in sympathetic dominant states like stress and anxiety, slow-deep bre"
"Heroes, the Healing Power of Breathing, and the Key to Living Longer","Mon, 30 Oct 2023 10:28:00 +0000",publish,/blog/heroes-the-healing-power-of-breathing-key-living-longer,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Reading Time: 1 min 46 sec I hope the next 27ish breaths are the most nourishing of your day. 4 THOUGHTS 1. A 2023 Review: "
"HIIB?, a Trick for Being Present, and Becoming More Joyous","Mon, 28 Aug 2023 10:28:00 +0000",publish,/blog/hiib-a-trick-for-present-becoming-more-joyous,Contemplative practice and mindfulness,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 4 THOUGHTS 1. High-Intensity Interval…Breathing? Here’s why we should add intensity of intention to mindful breathing: “[T]"
"How Breathing Heals, Life’s Storms, and the Power of Love","Mon, 25 Mar 2024 10:28:00 +0000",publish,/blog/how-breathing-heals-lifes-storms-power-of-love,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy These Posts? Donate to support my research. Reading Time: 1 min 38 sec I hope the next 25’ish breaths are the most no"
How Breathing Helps the Brain: CSF and Better Retention of Motor Skills,"Mon, 17 Mar 2025 10:28:00 +0000",publish,/blog/how-breathing-helps-the-brain-csf-and-better-retention-of-motor-skills,Breathwork techniques and how-to,"Reading Time: 1 min 54 sec I hope the next 23’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Increasing Cerebrospinal Fluid (CSF) Flow to the Brain “With rigorous testing, we demonstrated that the three yogic breathing patterns (slow, deep abdominal and deep diaphragmatic) immediatel"
"How Gratitude Works, Fast Breathing, and Coming Home in a Loving Way","Mon, 21 Aug 2023 10:28:00 +0000",publish,/blog/how-gratitude-works-fast-breathing-coming-home-loving-way,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 4 THOUGHTS 1. Mindful Breath Awareness Improves Impulsivity and Brain Dynamics “In sum, we show that a relatively short per"
"How to Accomplish More, Gaining Control, and Doing Brooklyn Yoga","Mon, 16 Feb 2026 11:28:00 +0000",publish,/blog/how-to-accomplish-more-gaining-control-doing-brooklyn-yoga,Breathwork techniques and how-to,"Reading Time: 2 min 6 sec I hope the next 25-ish breaths are the most nourishing of your day. 4 THOUGHTS 1. How Conscious Breathing Helps Give Us Control in Challenging Situations “Conscious breathing can create enduring states of focus, presence, and mindful observation, so that life’s challenging "
"How to Concentrate Better, Meditation &amp; Brain, and This Is Never Selfish","Mon, 25 Aug 2025 10:28:00 +0000",publish,/blog/how-to-concentrate-better-meditation-brain-and-this-is-never-selfish,Focus and performance,"Reading Time: 1 min 57 sec I hope the next 23’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. How to Concentrate Better “I realized then that to recover from our loss of attention, it is not enough to strip out our distractions. That will just create a void. We need to strip out our d"
"How to Deal with Emotions, #1 Thing to Avoid, and Good Intoxication","Mon, 03 Nov 2025 11:28:00 +0000",publish,/blog/how-to-deal-with-emotions-1-thing-to-avoid-and-good-intoxication,Breathwork techniques and how-to,"Reading Time: 1 min 40 sec I hope the next 20-ish breaths are the most nourishing of your day. 4 THOUGHTS 1. How to Deal With a Surge of Emotions “The next time you feel a surge of strong emotion, try using your breath to calm and soothe your mind and body. Take a few slow, deep breaths. Feel the ai"
